"site"	"P_mgL"	"C_mgL"	"N_mgL"	"Q_ft3S"
"02479960"	"0.019"	"4.98387096774194"	"0.467560975609756"	NA
"02479944"	"0.00827272727272727"	"5.44285714285714"	"0.392727272727273"	NA
"02479955"	"0.0243783783783784"	"4.11923076923077"	"0.905405405405405"	NA
"02479945"	"0.0196857142857143"	"5.05"	"0.667857142857143"	NA
"02479935"	"0.013"	"4.4"	"0.56"	NA
"02479940"	"0.00575"	"3.125"	"0.7725"	NA
"02479980"	"0.0251285714285714"	"3.27777777777778"	"0.648285714285714"	NA
"02479950"	"0.0192037037037037"	"4.02333333333333"	"0.408148148148148"	"9.9"
"02479948"	"0.0375901639344262"	"4.72571428571429"	"0.744918032786885"	NA
"02479947"	"0.115727272727273"	"3.7"	"1.32363636363636"	NA
"02448500"	"0.166078431372549"	"11.2111111111111"	"0.711794871794872"	"496.515625"
"02479975"	"0.0432857142857143"	"4.01428571428571"	"0.515714285714286"	NA
"0247994650"	"0.00736363636363636"	"4.68571428571429"	"0.564545454545455"	NA
"02480002"	"0.0209571428571429"	"3.70555555555556"	"0.754714285714286"	NA
"02480001"	"0.014"	"2.74285714285714"	"0.397142857142857"	"3.5"
"0248000050"	"0.02025"	"2.925"	"0.4075"	NA
"02444500"	"0.175774193548387"	"16.3333333333333"	"0.77725"	"7137.43333333333"
"0247100550"	"0.0229714285714286"	"3.425"	"0.554857142857143"	NA
"02449000"	"0.106888"	"7.85813953488372"	"0.74536036036036"	"12794.6206896552"
"02471013"	"0.0166666666666667"	"2.74285714285714"	"0.59"	NA
"02469762"	"0.087026525198939"	"7.42307692307692"	"0.774061433447099"	"26845.1923076923"
"02471067"	"0.08"	"45.7"	"1.18333333333333"	NA
"0247101475"	"0.0373684210526316"	"3.85714285714286"	"0.723157894736842"	NA
"0247101550"	"0.185125"	"4.38571428571429"	"0.7375"	NA
"0247101490"	"0.02485"	"3.35714285714286"	"0.6715"	NA
"0247104350"	"0.16"	"48.5"	"4.05"	NA
"0247101495"	"0.43475"	"5.18571428571429"	"2.45"	NA
"02471016"	"0.301076923076923"	"6.25714285714286"	"2.47179487179487"	NA
"02378800"	"0.02"	"4.7"	"0.52"	NA
"02378600"	"0.02"	"2.8"	"1.2"	NA
"02378590"	"0.02"	"2.5"	"0.99"	NA
"02378770"	"0.02"	"3.5"	"0.68"	NA
"02467001"	"0.0886"	"10.3"	"0.83"	"22149.8113207547"
"0247102810"	"0.02"	"4.8"	"0.28"	NA
"02471030"	"0.02"	"3.3"	"0.36"	"6"
"02466031"	"0.0362962962962963"	"3.035"	"0.870970873786408"	NA
"02471025"	"0.02"	"3.5"	"0.25"	NA
"02471035"	"0.025"	"4.275"	"0.303125"	NA
"02429650"	"0.02"	"4.88571428571429"	"0.275714285714286"	"20"
"02378540"	"0.0213333333333333"	"2.37777777777778"	"1.51111111111111"	NA
"02378505"	"0.034"	"3.5"	"1.6"	NA
"02378534"	"0.015"	"2.9"	"1.4"	NA
"02378400"	"0.0165"	"4.5"	"0.615"	NA
"02378500"	"0.0335625"	"2.4"	"1.5875"	"98.17"
"02378530"	"0.02"	"2.9"	"1.3"	NA
"02378375"	"0.02"	"2.1"	"0.49"	NA
"02378300"	"0.0342857142857143"	"2.02142857142857"	"2.85714285714286"	"22"
"02429628"	"0.02"	"5.2"	"0.31"	"6.1"
"02429605"	"0.02"	"3.8"	"0.53"	"98"
"02378195"	"0.02"	"2.5"	"3"	NA
"02377300"	"0.02"	"7.5"	"0.53"	NA
"02376240"	"0.02"	"6.6"	"0.28"	"12"
"0237819550"	"0.02"	"2.3"	"1.7"	NA
"02466500"	"0.190909090909091"	"6.4"	"1.42909090909091"	"89.6"
"02377920"	"0.05"	"7.2"	"0.81"	NA
"02464313"	"0.02"	"2.2"	"1.05"	NA
"02378170"	"0.2"	"4.9"	"1.6"	NA
"02464317"	"0.036"	"2.03333333333333"	"0.852"	NA
"02464360"	"0.048527027027027"	"3.83333333333333"	"0.482432432432432"	NA
"02377500"	"0.0235294117647059"	"6.94285714285714"	"0.521764705882353"	"172.053191489362"
"02377540"	"0.02"	"4.9"	"0.363333333333333"	NA
"02378150"	"0.0214285714285714"	"3.38571428571429"	"1.77142857142857"	NA
"02378176"	"0.18"	"8.7"	"2.3"	NA
"02376220"	"0.02"	"2"	"0.61"	NA
"02464000"	"0.0411707317073171"	"2.65"	"0.527183098591549"	"259.019607843137"
"02378177"	"0.035"	"7.2"	"3.45"	NA
"02445327"	"0.096"	"2.05"	"0.491818181818182"	NA
"02377960"	"0.0592857142857143"	"6.12142857142857"	"0.914285714285714"	NA
"02463850"	"0.01375"	"2.375"	"0.28625"	"2.5"
"02464155"	"0.05625"	"4.44"	"0.568285714285714"	NA
"02464660"	"0.0484210526315789"	"4.475"	"0.616315789473684"	NA
"02464035"	"0.0255555555555556"	"3.7"	"0.413076923076923"	NA
"02463580"	"0.025"	"2.6"	"0.465"	NA
"02464025"	"0.03"	"2.85"	"0.505"	NA
"02463900"	"0.015"	"3.42222222222222"	"0.271538461538462"	NA
"02453835"	"0.0225"	"2.7"	"2.085"	NA
"02464100"	"0.026875"	"1.6"	"0.373125"	NA
"0246414950"	"0.02"	"6.1"	"9.9"	NA
"02464505"	"0.0327777777777778"	"3.36666666666667"	"0.409722222222222"	NA
